,,,,,
,Tabla 1,,,,
,24.07.2016,"Urbino, Italia",Oratorio di San Giuseppe,,Armonie al Crepuscolo/ Lamento della Ninfa
,25.06.2016,"Chivaso, Italia",Collegiata di Santa Maria Assunta,Gil Invaghiti ,Te Deum 
,19.06.2016,"Bologna, Italia",San Colombano- Collezione tagliavini,Festa della Musica,Giornate di cultura Spagnola 
,10.06.2016,"Plebana, Italia",Antica Chiesa Plebana,La Dafne,Parnaso delle Muse
,09.06.2016,"Tolino, Italia",Casalborgone- Antica Chiesa di Santa Maria Maddalena,La Dafne,Parnaso delle Muse
,19.5.2016,"Cremona, Italia",Museo Archeologico San Lorenzo,Ensemble Voz Latina. Dir. Maximiliano Baños,Caravelle della musica
,22.04.2016,"Tongeren, Belgica",Casino Tongeren,"Francesca Lombardi-Mazzulli, Giampaolo Fagotto, Pedro Alcàcer, Marco Mencoboni.",Arlecchino innamorato
,27.3.2016,"Dolino, Italia",Duomo- Chivaso,Gil Invaghiti ,Concerto di Pasqua 
,27.02.2016,"Bagnacavallo, Italia",Bottega Matteoti,Sensus,Don Quixote
,26.02.2016,"Chivaso, Italia",Collegiata di Santa Maria Assunta,Gli Invaghitti,Santa Messa di Pasqua
,06.02.2016,"Paris, Francia",Rotin’s Home,Atelier du sensible,Chansons et danses du XVIIème Siècle
,24.10.2015,"Bologna, Italia",Chiesa di San Cosma e Damiano,"Diego Velazco- Violino, Pedro Alcàcer-Tiorba",Recital di Violino Barroco
,20.10.2015,"Bologna, Italia",Chiesa dei SS. Cosma e Damiano,Bononia Antiqua,Parigi 1730
,29.08.2015,"Corciano, Italia",Castello di San Mariano ,,Cantacatello
,30.07.2015,"Coccolia, Italia",Cortile di Villa Pasolini dall’Onda,Sensus,Don Quixote
,28.07.2015,"Urbino, Italia",Palazzo Dulcale,Strumentale del Festival di Urbino,Saggo di danza Dir. Lieven Baert
,27.07.2015,"Pesaro, Italia",Palazzo Mazzolari Mosca,Bird concert ,Rossini in Sorsi
,25.06.2015,"Bologna, Italia",Chiesa dei SS. Cosa e Damiano,Bononia Antiqua,Il Flauto alla Corelli
,21.06.2015,"Bologna, Italia",Chiesa dei SS. Cosa e Damiano,La musica interna,La Spagna del siglo de oro
,20.06.2015,"Bologna, Italia",San Colombano- Collezione tagliavini,Festival Della Tarantella,LeTarantelle nelle opere di Athanasius Kircher
,20.06.2015,"Bologna, Italia",San Colombano,Ensemble con San Colombano dir. Liuwe Tamminga,Le prime tarantelle
,13.06.2015,"Como, Italia",Isola de Como,Accademia dell’Annunciata di Abbiategrasso,Alcina Händel
,04.06.2015,"Bologna, Italia",Biblioteca Suona,Fabrizio longo. Violino Barroco,La Biblioteca Suona
,28.05.2015,"Bologna, Italia",Oratorio Santa Cecilia,Sestetto Dolce Traverso,Splendori Barrocchi Per Complesso di Più Flauti 
